id,loan_amnt_USD_USD,funded_amnt_EUR,exchange_rate_USD,total_pymnt_USD,funded_amnt_USD,loan_amnt_EUR_USD,installment_EUR,int_rate_USD,exchange_rate,installment_USD,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
373332.0,9950.0,327.8871109036876,9038.082814338286,1072.82,10.0,908.3500315917876,974.4960808923015,0.001825,1.100897192955017,360.97,10.0,1.0,36.0,21.0,0.0,1.0
575239.0,12000.0,294.8322532540624,10900.20037910145,959.75,120.0,10900.20037910145,871.788942820218,0.0020989999999999997,1.100897192955017,324.58,10.0,1.0,60.0,25.0,1.0,2.0
707689.0,10000.0,303.54220926583275,8924.29980495201,3726.25,100.0,8924.29980495201,3325.417214820243,0.001366,1.1205360889434814,340.13,2.0,1.0,36.0,13.0,1.0,0.0
709828.0,27200.0,503.10783199774335,24707.12085929662,68616520.0,272.0,24707.12085929662,62327818.109718524,0.0006,1.100897192955017,553.87,10.0,1.0,60.0,6.0,0.0,4.0
849994.0,11400.0,347.25895672559005,10526.076488797169,3753.6,114.0,10526.076488797169,3465.8491849428992,0.0006,1.0830246210098267,376.09,3.0,0.0,36.0,10.0,0.0,1.0
1312426.0,15000.0,325.40896486667,13496.099961290816,2880.35,150.0,13496.099961290816,2591.5661015669334,0.0015609999999999999,1.1114321947097778,361.67,4.0,1.0,60.0,16.0,1.0,4.0
4526500.0,10800.0,295.3126619529915,9717.191972129389,2950.42,108.0,9717.191972129389,2654.61088318611,0.0006,1.1114321947097778,328.22,4.0,1.0,36.0,1.0,1.0,2.0
6736790.0,18000.0,328.47402253009625,15946.200996660373,4432.02,180.0,15946.200996660373,3926.32676340104,0.0006,1.1287955045700073,370.78,1.0,1.0,60.0,6.0,1.0,1.0
8138291.0,10350.0,260.33967391006007,9236.65029812533,1432.16,10.0,892.429980495201,1278.1025208660071,0.002299,1.1205360889434814,291.72,2.0,0.0,60.0,26.0,1.0,4.0
8214572.0,7000.0,208.65905373958296,6247.009863466407,7300.41,70.0,6247.009863466407,6515.1047539069705,0.0006,1.1205360889434814,233.81,2.0,1.0,36.0,11.0,1.0,2.0
12606806.0,24975.0,489.75462944581164,22253.47379315773,3831.55,249.75,22253.47379315773,3414.0259264133533,0.0006,1.122296690940857,549.65,6.0,1.0,60.0,10.0,1.0,2.0
13026045.0,12000.0,245.48071473481494,10709.159765942413,2799.58,120.0,10709.159765942413,2498.429124794755,0.0006,1.1205360889434814,275.07,2.0,1.0,60.0,13.0,1.0,2.0
14187903.0,12000.0,249.13075335504035,10709.159765942413,2846.33,120.0,10709.159765942413,2540.1502263829057,0.001399,1.1205360889434814,279.16,2.0,1.0,60.0,15.0,1.0,4.0
14428496.0,21000.0,417.5158370953371,18603.901162770435,5155.28,210.0,18603.901162770435,4567.06283744796,0.0006,1.1287955045700073,471.29,1.0,1.0,60.0,11.0,1.0,4.0
14470171.0,21000.0,618.4992690260356,18894.539945807144,68616520.0,210.0,18894.539945807144,61737027.52772737,0.0006,1.1114321947097778,687.42,4.0,1.0,36.0,9.0,1.0,1.0
14550531.0,32000.0,913.2823722633309,29067.201010937202,3089.0,320.0,29067.201010937202,2805.8932475870315,0.0006,1.100897192955017,1005.43,10.0,1.0,36.0,6.0,1.0,0.0
14669896.0,21500.0,427.4556357165887,19046.851190455447,23855.94,215.0,19046.851190455447,21133.97856690389,0.0006,1.1287955045700073,482.51,1.0,1.0,60.0,11.0,1.0,1.0
15389420.0,15000.0,322.1995079619098,13850.100643154168,68616520.0,150.0,13850.100643154168,63356380.518866725,0.001399,1.0830246210098267,348.95,3.0,0.0,60.0,14.0,1.0,2.0
16130931.0,20000.0,617.7451379760554,18247.60033603779,21119.05,200.0,18247.60033603779,19268.599193839946,0.001333,1.0960345268249512,677.07,5.0,1.0,36.0,15.0,1.0,4.0
19137119.0,27000.0,522.9633168640694,24057.809506116464,4075.47,270.0,24057.809506116464,3631.365959551573,0.0006,1.122296690940857,586.92,6.0,1.0,60.0,9.0,1.0,1.0
19646726.0,28000.0,770.6489853568258,24988.03945386563,9472.03,280.0,24988.03945386563,8453.123548149959,0.0006,1.1205360889434814,863.54,2.0,1.0,36.0,4.0,0.0,3.0
22403153.0,11200.0,333.3761435137873,9995.215781546252,1113.03,112.0,9995.215781546252,993.3013411905736,0.0006,1.1205360889434814,373.56,2.0,0.0,36.0,11.0,0.0,3.0
25276117.0,28000.0,520.8383605531426,24805.20155036058,7040.28,10.0,885.9000553700207,6236.984441820449,0.0006,1.1287955045700073,587.92,1.0,1.0,60.0,7.0,1.0,4.0
31207716.0,35000.0,705.751477175215,31235.049317332036,8674.34,350.0,31235.049317332036,7741.241077008743,0.0006,1.1205360889434814,790.82,2.0,1.0,60.0,12.0,1.0,1.0
31888135.0,4950.0,173.80675236399063,4677.304687407598,178.44,49.5,4677.304687407598,168.60974715575998,0.001999,1.0583018064498901,183.94,11.0,1.0,36.0,24.0,1.0,2.0
34462110.0,14400.0,429.24097201858183,12850.991719130894,5280.87,144.0,12850.991719130894,4712.806711097693,0.0006,1.1205360889434814,480.98,2.0,1.0,36.0,11.0,1.0,3.0
34883768.0,10300.0,283.79808273778616,9124.770570311213,3839.91,103.0,9124.770570311213,3401.776481615896,0.0006,1.1287955045700073,320.35,1.0,1.0,36.0,4.0,0.0,4.0
35683282.0,22400.0,608.1172340081971,19844.161240288464,8221.13,224.0,19844.161240288464,7283.099522204138,0.0006,1.1287955045700073,686.44,1.0,1.0,36.0,2.0,1.0,0.0
36169417.0,24000.0,512.4223100271273,21261.601328880497,6899.47,240.0,21261.601328880497,6112.240855023797,0.001559,1.1287955045700073,578.42,1.0,1.0,60.0,16.0,1.0,0.0
36201871.0,21000.0,566.2230203897487,18603.901162770435,7655.73,210.0,18603.901162770435,6782.211630897928,0.0006,1.1287955045700073,639.15,1.0,1.0,36.0,1.0,1.0,4.0
36241014.0,20000.0,364.97310481134116,17718.001107400414,4934.13,200.0,17718.001107400414,4371.146040202881,0.0006,1.1287955045700073,411.98,1.0,1.0,60.0,6.0,1.0,2.0
36561402.0,9600.0,283.1274255301829,8775.74352670075,1852.99,96.0,8775.74352670075,1693.892187243877,0.0006,1.0939244031906128,309.72,7.0,1.0,36.0,8.0,1.0,2.0
36763239.0,15000.0,336.4294050273191,13288.50083055031,4527.35,150.0,13288.50083055031,4010.779615679464,0.0017859999999999998,1.1287955045700073,379.76,1.0,1.0,60.0,20.0,1.0,0.0
36802496.0,7800.0,230.8035414255515,6910.0204318861615,3120.99,78.0,6910.0204318861615,2764.8852138092807,0.0006,1.1287955045700073,260.53,1.0,1.0,36.0,11.0,1.0,2.0
36806601.0,20000.0,579.341329920854,18088.30666190593,7665.75,200.0,18088.30666190593,6933.021839675269,0.0006,1.1056866943836212,640.57,0.0,1.0,36.0,7.0,1.0,2.0
36950419.0,14000.0,301.54266084684764,12402.60077518029,4132.09,140.0,12402.60077518029,3660.6187597939092,0.0015990000000000002,1.1287955045700073,340.38,1.0,1.0,60.0,17.0,1.0,1.0
37011266.0,28000.0,867.0658201928541,24805.20155036058,8760.16,280.0,24805.20155036058,7760.626229050241,0.001559,1.1287955045700073,978.74,1.0,0.0,36.0,16.0,1.0,4.0
37051229.0,30000.0,591.0636579423242,26577.00166110062,8366.84,300.0,26577.00166110062,7412.184019272105,0.0006,1.1287955045700073,667.19,1.0,1.0,60.0,10.0,1.0,1.0
37068509.0,7000.0,214.94593043442813,6201.300387590145,2905.73,70.0,6201.300387590145,2574.1863678903305,0.0006,1.1287955045700073,242.63,1.0,1.0,36.0,15.0,1.0,3.0
37107114.0,25000.0,678.7057504200803,22147.501384250518,9175.41,250.0,22147.501384250518,8128.496227042642,0.0006,1.1287955045700073,766.12,1.0,1.0,36.0,2.0,1.0,2.0
37257668.0,12000.0,334.0640518794811,10630.800664440249,4514.16,120.0,10630.800664440249,3999.0945939491326,0.0006,1.1287955045700073,377.09,1.0,1.0,36.0,5.0,1.0,2.0
37267742.0,12000.0,334.0640518794811,10630.800664440249,4545.79,120.0,10630.800664440249,4027.1156127004865,0.0006,1.1287955045700073,377.09,1.0,0.0,36.0,5.0,0.0,2.0
37329129.0,8000.0,235.36592671070713,7087.200442960166,2911.82,10.0,885.9000553700207,2579.581499227534,0.0006,1.1287955045700073,265.68,1.0,0.0,36.0,10.0,0.0,2.0
37600541.0,8000.0,227.37001474015753,7235.3226647623715,3009.52,80.0,7235.3226647623715,2721.8560332569564,0.0006,1.1056866943836212,251.4,0.0,1.0,36.0,5.0,1.0,2.0
37601431.0,15000.0,306.8669201796215,13288.50083055031,4133.91,150.0,13288.50083055031,3662.2310978946825,0.001366,1.1287955045700073,346.39,1.0,1.0,60.0,13.0,1.0,2.0
37612109.0,1000.0,375.01921143923715,885.9000553700207,5057.27,118.5,10497.915656134746,4480.235773021145,0.001714,1.1287955045700073,423.32,1.0,1.0,36.0,19.0,1.0,2.0
37612196.0,15000.0,279.0230814393417,13288.50083055031,3809.57,150.0,13288.50083055031,3374.89827393597,0.0006,1.1287955045700073,314.96,1.0,1.0,60.0,7.0,1.0,3.0
